prime,target
キモチ,キブン
ウゴキ,イドウ
アイテ,ドウシ
ナマエ,シメイ
ジケン,ジレイ
カゾク,カテイ
イケン,シテキ
キオク,アンキ
リユウ,リクツ
バショ,カショ
ナカマ,アッカ
スウジ,キセツ
キカン,アツサ
クウキ,セキユ
ブンカ,ソクザ
ヒヨウ,ケイコ
ギモン,カセン
シセイ,コウイ
ブンヤ,ユビワ
フアン,デンパ
ライウ,キアベ
エンソ,メシキ
カイキ,ヒカバ
カラシ,トエウ
クチエ,フヘウ
ケイシ,ブアリ
コウジ,シイキ
コウヤ,ウジロ
サコツ,ゾウガ
ジュズ,キイゴ
スミビ,マンケ
トウキ,コッガ
ブツダ,ギイコ
ホウト,クカン
ホウビ,ケタメ
ホシュ,ゴワミ
アミド,ハサコ
オウケ,バシア
ジッチ,フスキ
ジンギ,ボコセ
ヘンカ,カワリ
マワリ,アタリ
ヨウス,グアイ
ジダイ,コダイ
サイゴ,オワリ
オカネ,カヘイ
デンワ,ツウワ
コトバ,ゲンゴ
ジカン,トケイ
セイビ,カクホ
ヒガイ,ダイズ
ニチジ,シッポ
ハンイ,カケイ
カカク,ノウチ
ガゾウ,シタギ
ジシン,ネダン
シセツ,オナカ
イタミ,ウワギ
ワダイ,イノリ
ニンキ,デグチ
ダイリ,アトソ
ニハツ,イセラ
ヒイキ,イリサ
ブンケ,ルゲリ
ミギメ,シサレ
コウチ,セロヒ
サンピ,ツバギ
ショキ,ハソギ
ジッシ,ヘビサ
スイマ,ワべク
ベイソ,マシア
カジュ,イサジ
キカン,キウレ
コナシ,シブエ
ゾウサ,サウフ
テジナ,ナシビ
ドカタ,カラセ
フニン,ソイク
ブヨウ,ソマイ
アリカ,ヘイミ
テイド,ドアイ
レキシ,ユライ
チイキ,チホウ
シゴト,コヨウ
ツモリ,ヨサン
ブブン,イチブ
ジブン,ジシン
ケッカ,セイカ
コウカ,サヨウ
オオク,タスウ
シセン,ホジョ
タカサ,ホドウ
ジコウ,ノゾミ
リエキ,ジゲン
オミセ,アイズ
トナリ,ホンキ
キホン,ズツウ
ジタイ,シツギ
ソシキ,キゲン
ゾウカ,シボウ
ゴカク,ムタテ
シタミ,リメカ
シロキ,レッモ
ジレイ,フンサ
ドンカ,ロハイ
ナナイ,イツヒ
フンド,カヤフ
ブカイ,ヘクゴ
ホブネ,ナホダ
イシン,ヌヤジ
イチザ,ボサユ
ウモウ,ヌヨウ
キカン,シネツ
シルケ,ハサノ
ジライ,ホバク
ゾウシ,カブプ
チカバ,クブボ
フウウ,シコべ
ライウ,スアボ
エンソ,パウチ
ゴハン,セイジ
カオリ,ニオイ
キョリ,シカイ
バナナ,リンゴ
オカゲ,シソン
チホウ,イチジ
ヤサイ,シマツ
ジユウ,ザッシ
コッカ,ヒロウ
ジテン,セキユ
フケン,エウジ
マヒル,ボべン
ムゲン,ウリツ
イガタ,カハヒ
カタミ,シアジ
コドモ,ヨウジ
セカイ,シャカイ
イチブ,クブン
ジジツ,シンジツ
キテイ,メイキ